materials,AngM1-N-M2,dM1-M2,MagM1,RM1,NM1,mM1,PM1,"Hf,oxM1",NoutM1,XM1,EAM1,EiM1,MagM2,RM2,NM2,mM2,PM2,"Hf,oxM2",NoutM2,XM2,EAM2,EiM2
CrCr,143.8429,3.54714,3.281,166,24,51.996,3,-6.26,6,1.66,0.666,6.767,3.282,166,24,51.996,3,-6.26,6,1.66,0.666,6.767
CrMn,141.0266,3.55959,3.414,166,24,51.996,3,-6.26,6,1.66,0.666,6.767,3.344,161,25,54.938,3,-5.49,7,1.55,0,7.434
CrFe,144.939,3.56547,3.304,166,24,51.996,3,-6.26,6,1.66,0.666,6.767,1.975,156,26,55.845,3,-6.45,8,1.83,0.163,7.903
CrCo,146.1507,3.55043,3.305,166,24,51.996,3,-6.26,6,1.66,0.666,6.767,0.866,152,27,58.933,3,-5.6,9,1.88,0.66,7.881
CrNi,145.914,3.55275,3.247,166,24,51.996,3,-6.26,6,1.66,0.666,6.767,0.038,149,28,58.693,3,-4.75,10,1.91,1.16,7.64
CrRu,139.4874,3.59047,3.35,166,24,51.996,3,-6.26,6,1.66,0.666,6.767,1.062,178,44,101.07,4,-6.14,8,2.2,1.05,7.361
CrRh,137.4511,3.57022,3.348,166,24,51.996,3,-6.26,6,1.66,0.666,6.767,1.085,173,45,102.91,4,-4.84,9,2.28,1.137,7.459
CrPd,143.3408,3.57663,3.188,166,24,51.996,3,-6.26,6,1.66,0.666,6.767,0.012,169,46,106.42,4,-2.81,10,2.2,0.557,8.337
CrOs,139.5305,3.58966,3.391,166,24,51.996,3,-6.26,6,1.66,0.666,6.767,0.755,185,76,190.23,5,-6.21,8,2.2,1.1,8.71
CrIr,143.1262,3.57569,3.314,166,24,51.996,3,-6.26,6,1.66,0.666,6.767,0.044,180,77,192.22,5,-6.51,9,2.2,1.57,9.12
CrPt,141.7008,3.593,3.227,166,24,51.996,3,-6.26,6,1.66,0.666,6.767,0.036,177,78,195.08,5,-3.38,10,2.28,2.128,9.02
MnCr,141.0266,3.55959,3.344,161,25,54.938,3,-5.49,7,1.55,0,7.434,3.414,166,24,51.996,3,-6.26,6,1.66,0.666,6.767
MnMn,145.2236,3.5725,3.209,161,25,54.938,3,-5.49,7,1.55,0,7.434,3.21,161,25,54.938,3,-5.49,7,1.55,0,7.434
MnFe,145.4403,3.5623,3.314,161,25,54.938,3,-5.49,7,1.55,0,7.434,1.951,156,26,55.845,3,-6.45,8,1.83,0.163,7.903
MnCo,146.2317,3.52977,3.312,161,25,54.938,3,-5.49,7,1.55,0,7.434,0.735,152,27,58.933,3,-5.6,9,1.88,0.66,7.881
MnNi,145.7882,3.52216,3.293,161,25,54.938,3,-5.49,7,1.55,0,7.434,0.025,149,28,58.693,3,-4.75,10,1.91,1.16,7.64
MnRu,141.2661,3.56145,3.225,161,25,54.938,3,-5.49,7,1.55,0,7.434,0.393,178,44,101.07,4,-6.14,8,2.2,1.05,7.361
MnRh,142.4731,3.54358,3.223,161,25,54.938,3,-5.49,7,1.55,0,7.434,0.274,173,45,102.91,4,-4.84,9,2.28,1.137,7.459
MnPd,143.6318,3.57835,3.258,161,25,54.938,3,-5.49,7,1.55,0,7.434,0.022,169,46,106.42,4,-2.81,10,2.2,0.557,8.337
MnOs,141.3989,3.56545,3.277,161,25,54.938,3,-5.49,7,1.55,0,7.434,0.297,185,76,190.23,5,-6.21,8,2.2,1.1,8.71
MnIr,143.0681,3.55316,3.231,161,25,54.938,3,-5.49,7,1.55,0,7.434,0.319,180,77,192.22,5,-6.51,9,2.2,1.57,9.12
MnPt,143.3007,3.58294,3.26,161,25,54.938,3,-5.49,7,1.55,0,7.434,0.017,177,78,195.08,5,-3.38,10,2.28,2.128,9.02
FeCr,144.939,3.56547,1.975,156,26,55.845,3,-6.45,8,1.83,0.163,7.903,3.304,166,24,51.996,3,-6.26,6,1.66,0.666,6.767
FeMn,145.4403,3.5623,1.951,156,26,55.845,3,-6.45,8,1.83,0.163,7.903,3.314,161,25,54.938,3,-5.49,7,1.55,0,7.434
FeFe,145.4321,3.56884,2.024,156,26,55.845,3,-6.45,8,1.83,0.163,7.903,2.024,156,26,55.845,3,-6.45,8,1.83,0.163,7.903
FeCo,145.9774,3.53208,2.077,156,26,55.845,3,-6.45,8,1.83,0.163,7.903,0.767,152,27,58.933,3,-5.6,9,1.88,0.66,7.881
