materials,AngM1-N-M2,dM1-M2,MagM1,RM1,NM1,mM1,PM1,"Hf,oxM1",NoutM1,XM1,EAM1,EiM1,MagM2,RM2,NM2,mM2,PM2,"Hf,oxM2",NoutM2,XM2,EAM2,EiM2,Uorr
CrCr,143.8429,3.54714,3.281,166,24,51.996,3,-6.26,6,1.66,0.666,6.767,3.282,166,24,51.996,3,-6.26,6,1.66,0.666,6.767,1.574109475
CrRh,137.4511,3.57022,3.348,166,24,51.996,3,-6.26,6,1.66,0.666,6.767,1.085,173,45,102.91,4,-4.84,9,2.28,1.137,7.459,1.419952575
MnNi,145.7882,3.52216,3.293,161,25,54.938,3,-5.49,7,1.55,0,7.434,0.025,149,28,58.693,3,-4.75,10,1.91,1.16,7.64,1.098352415
MnIr,143.0681,3.55316,3.231,161,25,54.938,3,-5.49,7,1.55,0,7.434,0.319,180,77,192.22,5,-6.51,9,2.2,1.57,9.12,1.059966725
FeCo,145.9774,3.53208,2.077,156,26,55.845,3,-6.45,8,1.83,0.163,7.903,0.767,125,27,58.933,3,-5.6,9,1.88,0.66,7.881,0.955035165
FeRu,141.6544,3.56969,1.981,156,26,55.845,3,-6.45,8,1.83,0.163,7.903,0.715,178,44,101.07,4,-6.14,8,2.2,1.05,7.361,0.943097765
CoCr,146.1507,3.55043,0.673,152,27,58.933,3,-5.6,9,1.88,0.66,7.881,3.305,166,24,51.996,3,-6.26,6,1.66,0.666,6.767,0.405268595
CoCo,146.3474,3.52554,0.63,152,27,58.933,3,-5.6,9,1.88,0.66,7.881,0.632,152,27,58.933,3,-5.6,9,1.88,0.66,7.881,0.328771085
CoRh,144.9307,3.53763,0.724,152,27,58.933,3,-5.6,9,1.88,0.66,7.881,0.111,173,45,102.91,4,-4.84,9,2.28,1.137,7.459,0.342540505
NiFe,145.8112,3.54654,0,149,28,58.693,3,-4.75,10,1.91,1.16,7.64,2.078,156,26,55.845,3,-6.45,8,1.83,0.163,7.903,0.801649365
NiPd,144.8582,3.58844,0.037,149,28,58.693,3,-4.75,10,1.91,1.16,7.64,0.015,169,46,106.42,4,-2.81,10,2.2,0.557,8.337,0.793235555
RuFe,141.6544,3.56969,0.715,178,44,101.07,4,-6.14,8,2.2,1.05,7.361,1.981,156,26,55.845,3,-6.45,8,1.83,0.163,7.903,1.375411815
RuCo,145.5063,3.54008,1.08,178,44,101.07,4,-6.14,8,2.2,1.05,7.361,0.505,152,27,58.933,3,-5.6,9,1.88,0.66,7.881,1.388671435
RhMn,142.4731,3.54358,0.274,173,45,102.91,4,-4.84,9,2.28,1.137,7.459,3.223,161,25,54.938,3,-5.49,7,1.55,0,7.434,0.273893585
RhRh,142.1529,3.55859,0,173,45,102.91,4,-4.84,9,2.28,1.137,7.459,0,173,45,102.91,4,-4.84,9,2.28,1.137,7.459,0.286128165
RhOs,138.8873,3.55147,0.157,173,45,102.91,4,-4.84,9,2.28,1.137,7.459,1.025,135,76,190.23,5,-6.21,8,2.2,1.1,8.71,0.409352305
PdNi,144.8582,3.58844,0.015,169,46,106.42,4,-2.81,10,2.2,0.557,8.337,0.037,125,28,58.693,3,-4.75,10,1.91,1.16,7.64,1.079767015
PdOs,140.1125,3.59468,0.006,169,46,106.42,4,-2.81,10,2.2,0.557,8.337,0.615,135,76,190.23,5,-6.21,8,2.2,1.1,8.71,1.212710905
